valid_time,TdAI Run Time (UTC),TdAI Status,NBM Temperature (F),NBM Dewpoint (F),TdAI Predicted Bias (F),TdAI Corrected Dewpoint (F),ASOS Ground Truth Dewpoint (F),Raw NBM Error (F),Post TdAI Error (F),TdAI Skill Score (%),TdAI Top Drivers,NBM Max Wind Gust 15-21Z (kts),NDFD Dewpoint (F),NDFD Error (F),NDFD Skill Score (%)
2026-08-15 21:00:00,2026-08-15 21:44 UTC,Active,77.0,49.0,1.3,47.7,47.0,2.0,0.7,65.0,rh_975: +0.96F | Time of Year: -0.65F | 1000mb-700mb Lapse Rate (C/km): +0.30F | NBM Mixing Height (100s ft AGL): -0.14F | rh_925: +0.14F,,,,
2026-08-16 21:00:00,2026-08-16 14:48 UTC,Sky > 60 %,,,0.0,,50.0,,,,,,,,
2026-08-17 21:00:00,2026-08-17 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,61.0,,,,,,,,
2026-08-18 21:00:00,2026-08-18 14:48 UTC,RH > 60 %,,,0.0,,61.0,,,,,,,,
2026-08-19 21:00:00,2026-08-19 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,66.0,,,,,,,,
2026-08-20 21:00:00,2026-08-20 14:47 UTC,Sky > 60 %,,,0.0,,50.0,,,,,,,,
2026-08-21 21:00:00,2026-08-21 14:47 UTC,Active,79.0,48.0,0.0,48.0,46.0,2.0,2.0,0.0,NBM Cloud Cover (%): -0.54F | Time of Year: +0.36F | hrrr_lpw (mm): +0.30F | rh_725: +0.24F | rh_700: +0.24F,,,,
2026-08-22 21:00:00,2026-08-22 14:47 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,57.0,,,,,,,,
2026-08-23 21:00:00,2026-08-23 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,67.0,,,,,,,,
2026-08-24 21:00:00,2026-08-24 14:48 UTC,Active,77.0,57.0,0.0,57.0,57.0,0.0,0.0,0.0,Time of Year: +0.43F | hrrr_lpw (mm): +0.26F | rh_975: -0.23F | rh_1000: -0.18F | rh_900: +0.12F,,,,
2026-08-25 21:00:00,2026-08-25 14:48 UTC,Active,76.0,57.0,0.1,56.9,57.0,0.0,-0.1,0.0,hrrr_lpw (mm): +0.40F | Time of Year: +0.38F | rh_1000: -0.16F | 1000mb-700mb Lapse Rate (C/km): -0.15F | rh_975: -0.13F,,,,
2026-08-26 21:00:00,2026-08-26 14:48 UTC,Active,81.0,54.0,0.4,53.6,45.0,9.0,8.6,4.4,Time of Year: +0.50F | rh_975: -0.50F | 1000mb-700mb Lapse Rate (C/km): -0.24F | rh_1000: +0.23F | rh_525: +0.18F,,,,
2026-08-27 21:00:00,2026-08-27 14:47 UTC,Active,76.0,60.0,0.0,60.0,62.0,-2.0,-2.0,0.0,Time of Year: +0.34F | rh_975: +0.25F | hrrr_lpw (mm): +0.23F | NBM Wind Speed (kts): +0.17F | rh_725: -0.07F,,,,
2026-08-28 21:00:00,2026-08-28 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,68.0,,,,,,,,
2026-08-29 21:00:00,2026-08-29 14:47 UTC,Active,75.0,45.0,0.6,44.4,44.0,1.0,0.4,60.0,rh_975: -0.70F | Time of Year: +0.69F | NBM Cloud Cover (%): -0.42F | 1000mb-700mb Lapse Rate (C/km): +0.27F | hrrr_lpw (mm): -0.20F,,,,
2026-08-30 21:00:00,2026-08-30 23:54 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,57.0,,,,,,,,
2026-08-31 21:00:00,2026-08-31 14:48 UTC,Active,75.0,47.0,1.1,45.9,45.0,2.0,0.9,55.0,rh_975: -0.97F | Time of Year: +0.75F | NBM Cloud Cover (%): -0.38F | 1000mb-700mb Lapse Rate (C/km): +0.24F | NBM Mixing Height (100s ft AGL): +0.20F,13.0,,,
