valid_time,TdAI Run Time (UTC),TdAI Status,NBM Temperature (F),NBM Dewpoint (F),TdAI Predicted Bias (F),TdAI Corrected Dewpoint (F),ASOS Ground Truth Dewpoint (F),Raw NBM Error (F),Post TdAI Error (F),TdAI Skill Score (%),TdAI Top Drivers,NBM Max Wind Gust 15-21Z (kts)
2026-08-15 21:00:00,2026-08-15 21:43 UTC,Active,70.0,48.0,0.2,47.8,49.0,-1.0,-1.2,-20.0,Time of Year: -0.35F | rh_850: -0.30F | NBM Cloud Cover (%): +0.20F | rh_875: -0.19F | NBM Mixing Height (100s ft AGL): -0.16F,
2026-08-16 21:00:00,2026-08-16 14:47 UTC,Sky > 60 %,,,0.0,,53.0,,,,,
2026-08-17 21:00:00,2026-08-17 14:47 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,67.0,,,,,
2026-08-18 21:00:00,2026-08-18 14:47 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,59.0,,,,,
2026-08-19 21:00:00,2026-08-19 14:48 UTC,Sky > 60 %,,,0.0,,60.0,,,,,
2026-08-20 21:00:00,2026-08-20 14:47 UTC,Sky > 60 %,,,0.0,,55.0,,,,,
2026-08-21 21:00:00,2026-08-21 14:47 UTC,Active,72.0,46.0,1.3,44.7,43.0,3.0,1.7,43.3,Time of Year: +0.42F | hrrr_lpw (mm): -0.25F | rh_850: +0.25F | rh_750: -0.25F | 700mb-500mb Lapse Rate (C/km): +0.17F,
2026-08-22 21:00:00,2026-08-22 14:47 UTC,Active,74.0,52.0,1.7,50.3,46.0,6.0,4.3,28.3,Time of Year: +0.82F | rh_850: -0.63F | rh_825: -0.30F | rh_950: -0.23F | rh_925: -0.12F,
2026-08-23 21:00:00,2026-08-23 14:47 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,66.0,,,,,
2026-08-24 21:00:00,2026-08-24 14:48 UTC,RH > 60 %,,,0.0,,60.0,,,,,
2026-08-25 21:00:00,2026-08-25 14:47 UTC,Active,70.0,55.0,0.0,55.0,60.0,-5.0,-5.0,0.0,Time of Year: +0.34F | rh_850: +0.32F | rh_875: +0.21F | hrrr_lpw (mm): +0.18F | NBM Cloud Cover (%): -0.16F,
2026-08-26 21:00:00,2026-08-26 14:47 UTC,Active,76.0,54.0,0.3,53.7,53.0,1.0,0.7,30.0,Time of Year: +0.37F | rh_850: +0.31F | rh_825: +0.18F | rh_875: +0.17F | NBM Cloud Cover (%): -0.16F,
2026-08-27 21:00:00,2026-08-27 14:47 UTC,Active,76.0,57.0,0.2,56.8,57.0,0.0,-0.2,0.0,Time of Year: +0.37F | rh_850: +0.32F | rh_950: -0.21F | rh_875: +0.20F | rh_925: -0.17F,
2026-08-28 21:00:00,2026-08-28 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,62.0,,,,,
2026-08-29 21:00:00,2026-08-29 14:47 UTC,Active,69.0,45.0,1.3,43.7,45.0,0.0,-1.3,0.0,Time of Year: +0.41F | rh_950: -0.24F | rh_925: -0.22F | NBM Cloud Cover (%): -0.18F | rh_825: +0.17F,
2026-08-30 21:00:00,2026-08-30 23:53 UTC,Sky > 60 %,,,0.0,,53.0,,,,,
2026-08-31 21:00:00,2026-08-31 14:47 UTC,Active,69.0,48.0,0.4,47.6,49.0,-1.0,-1.4,-40.0,Time of Year: +0.41F | rh_850: +0.30F | NBM Cloud Cover (%): -0.21F | rh_875: +0.21F | rh_825: +0.16F,15.0
2026-09-01 21:00:00,2026-09-01 14:47 UTC,Active,70.0,46.0,1.7,44.3,41.0,5.0,3.3,34.0,Time of Year: +0.84F | rh_850: -0.75F | rh_825: -0.24F | NBM Cloud Cover (%): -0.18F | rh_950: -0.18F,7.0
2026-09-02 21:00:00,2026-09-02 14:48 UTC,Active,69.0,50.0,0.9,49.1,47.0,3.0,2.1,30.0,Time of Year: +0.44F | rh_850: +0.28F | rh_950: -0.23F | rh_925: -0.22F | NBM Cloud Cover (%): -0.20F,13.0
2026-09-03 21:00:00,2026-09-03 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,60.0,,,,,
2026-09-04 21:00:00,2026-09-04 14:47 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,62.0,,,,,
2026-09-05 21:00:00,2026-09-05 14:47 UTC,Active,63.0,47.0,0.0,47.0,,,,,Time of Year: +0.34F | rh_850: +0.29F | rh_875: +0.20F | NBM Cloud Cover (%): -0.18F | rh_825: +0.17F,22.0
2026-09-06 21:00:00,2026-09-05 14:47 UTC,Sky > 60 %,,,0.0,,,,,,,
