valid_time,TdAI Run Time (UTC),TdAI Status,NBM Temperature (F),NBM Dewpoint (F),TdAI Predicted Bias (F),TdAI Corrected Dewpoint (F),ASOS Ground Truth Dewpoint (F),Raw NBM Error (F),Post TdAI Error (F),TdAI Skill Score (%),TdAI Top Drivers,NBM Max Wind Gust 15-21Z (kts)
2026-08-15 21:00:00,2026-08-15 21:43 UTC,Active,68.0,46.0,0.0,46.0,48.0,-2.0,-2.0,0.0,Time of Year: -0.64F | rh_875: -0.34F | NBM Cloud Cover (%): +0.32F | rh_825: -0.22F | rh_850: -0.18F,
2026-08-16 21:00:00,2026-08-16 14:47 UTC,Sky > 60 %,,,0.0,,51.0,,,,,
2026-08-17 21:00:00,2026-08-17 14:47 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,61.0,,,,,
2026-08-18 21:00:00,2026-08-18 14:48 UTC,Active,74.0,58.0,0.1,57.9,54.0,4.0,3.9,2.5,Time of Year: +0.56F | rh_875: +0.28F | rh_825: +0.23F | rh_575: -0.18F | NBM Wind Speed (kts): -0.17F,
2026-08-19 21:00:00,2026-08-19 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,57.0,,,,,
2026-08-20 21:00:00,2026-08-20 14:47 UTC,Sky > 60 %,,,0.0,,55.0,,,,,
2026-08-21 21:00:00,2026-08-21 14:47 UTC,Active,71.0,45.0,2.2,42.8,42.0,3.0,0.8,73.3,Time of Year: +0.76F | rh_875: -0.55F | rh_825: -0.37F | NBM RH (%): -0.32F | NBM Cloud Cover (%): -0.28F,
2026-08-22 21:00:00,2026-08-22 14:47 UTC,Active,73.0,49.0,2.8,46.2,44.0,5.0,2.2,56.0,Time of Year: +0.82F | rh_900: -0.60F | rh_875: -0.51F | rh_825: -0.41F | NBM RH (%): -0.32F,
2026-08-23 21:00:00,2026-08-23 14:47 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,64.0,,,,,
2026-08-24 21:00:00,2026-08-24 14:48 UTC,RH > 60 %,,,0.0,,58.0,,,,,
2026-08-25 21:00:00,2026-08-25 14:47 UTC,RH > 60 %,,,0.0,,53.0,,,,,
2026-08-26 21:00:00,2026-08-26 14:47 UTC,Active,75.0,52.0,0.6,51.4,54.0,-2.0,-2.6,-30.0,Time of Year: +0.45F | rh_875: +0.33F | NBM Cloud Cover (%): -0.33F | rh_825: +0.20F | rh_950: -0.18F,
2026-08-27 21:00:00,2026-08-27 14:47 UTC,Active,76.0,56.0,0.0,56.0,53.0,3.0,3.0,0.0,Time of Year: +0.44F | rh_875: +0.24F | rh_950: -0.16F | rh_825: +0.16F | hrrr_lpw (mm): +0.15F,
2026-08-28 21:00:00,2026-08-28 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,61.0,,,,,
2026-08-29 21:00:00,2026-08-29 14:47 UTC,Active,68.0,43.0,0.3,42.7,43.0,0.0,-0.3,0.0,Time of Year: +0.43F | rh_875: +0.33F | NBM Cloud Cover (%): -0.27F | NBM Mixing Height (100s ft AGL): +0.24F | NBM RH (%): -0.22F,
2026-08-30 21:00:00,2026-08-30 23:53 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,56.0,,,,,
2026-08-31 21:00:00,2026-08-31 14:47 UTC,Active,68.0,47.0,0.0,47.0,46.0,1.0,1.0,0.0,Time of Year: +0.49F | rh_875: +0.32F | rh_825: +0.21F | rh_950: -0.14F | rh_850: +0.13F,17.0
2026-09-01 21:00:00,2026-09-01 14:47 UTC,Active,70.0,43.0,2.4,40.6,,,,,Time of Year: +0.80F | rh_900: -0.56F | rh_875: -0.42F | rh_825: -0.42F | NBM Cloud Cover (%): -0.34F,5.0
2026-09-02 21:00:00,2026-09-01 14:47 UTC,Active,68.0,47.0,1.6,45.4,,,,,rh_900: -1.10F | Time of Year: +0.82F | NBM Wind Direction (deg): +0.58F | rh_725: -0.37F | rh_925: -0.27F,14.0
