valid_time,TdAI Run Time (UTC),TdAI Status,NBM Temperature (F),NBM Dewpoint (F),TdAI Predicted Bias (F),TdAI Corrected Dewpoint (F),ASOS Ground Truth Dewpoint (F),Raw NBM Error (F),Post TdAI Error (F),TdAI Skill Score (%),TdAI Top Drivers
2026-08-15 21:00:00,2026-08-15 21:43 UTC,Active,71.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,Time of Year: -0.33F | rh_875: -0.31F | rh_825: -0.29F | rh_925: +0.18F | NBM Mixing Height (100s ft AGL): -0.16F
2026-08-16 21:00:00,2026-08-16 14:47 UTC,Sky > 60 %,,,0.0,,50.0,,,,
2026-08-17 21:00:00,2026-08-17 14:47 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,63.0,,,,
2026-08-18 21:00:00,2026-08-18 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,63.0,,,,
2026-08-19 21:00:00,2026-08-19 14:48 UTC,Sky > 60 %,,,0.0,,59.0,,,,
2026-08-20 21:00:00,2026-08-20 14:47 UTC,Sky > 60 %,,,0.0,,,,,,
2026-08-21 21:00:00,2026-08-21 14:47 UTC,Active,72.0,46.0,0.0,46.0,,,,,NBM Cloud Cover (%): -0.45F | Time of Year: +0.40F | rh_875: +0.31F | rh_825: +0.25F | rh_925: -0.19F
2026-08-22 21:00:00,2026-08-22 14:47 UTC,Sky > 60 %,,,0.0,,47.0,,,,
2026-08-23 21:00:00,2026-08-23 14:47 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,68.0,,,,
2026-08-24 21:00:00,2026-08-24 14:48 UTC,RH > 60 %,,,0.0,,63.0,,,,
2026-08-25 21:00:00,2026-08-25 14:47 UTC,Active,72.0,54.0,1.1,52.9,56.0,-2.0,-3.1,-55.0,1000mb-700mb Lapse Rate (C/km): -0.71F | hrrr_lpw (mm): +0.39F | Time of Year: +0.37F | NBM RH (%): +0.22F | rh_900: -0.20F
2026-08-26 21:00:00,2026-08-26 14:47 UTC,Active,76.0,54.0,0.0,54.0,53.0,1.0,1.0,0.0,Time of Year: +0.38F | rh_875: +0.29F | rh_825: +0.25F | rh_925: -0.18F | NBM Mixing Height (100s ft AGL): +0.15F
2026-08-27 21:00:00,2026-08-27 14:47 UTC,Active,76.0,57.0,0.0,57.0,58.0,-1.0,-1.0,0.0,Time of Year: +0.25F | rh_825: +0.22F | rh_875: +0.20F | hrrr_lpw (mm): +0.18F | rh_900: +0.16F
2026-08-28 21:00:00,2026-08-28 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,65.0,,,,
2026-08-29 21:00:00,2026-08-29 14:47 UTC,Active,70.0,45.0,0.4,44.6,45.0,0.0,-0.4,0.0,NBM Cloud Cover (%): -0.63F | Time of Year: +0.49F | rh_900: -0.21F | rh_825: +0.20F | NBM Mixing Height (100s ft AGL): +0.17F
2026-08-30 21:00:00,2026-08-30 02:48 UTC,Active,71.0,49.0,1.6,47.4,,,,,1000mb-700mb Lapse Rate (C/km): -0.89F | rh_900: -0.81F | Time of Year: +0.73F | rh_850: -0.18F | rh_500: +0.16F
2026-08-31 21:00:00,2026-08-30 02:48 UTC,Active,70.0,46.0,3.0,43.0,,,,,NBM Cloud Cover (%): -0.75F | Time of Year: +0.67F | rh_925: -0.42F | NBM RH (%): -0.39F | rh_950: -0.31F
