valid_time,TdAI Run Time (UTC),NBM Temperature (F),NBM RH (%),NBM Dewpoint (F),TdAI Predicted Bias (F),TdAI Corrected Dewpoint (F),ASOS Ground Truth Dewpoint (F),Raw NBM Error (F),Post TdAI Error (F),TdAI Skill Score (%),TdAI Status,TdAI Corrected RH (%),ASOS Ground Truth RH (%),TdAI_Predicted_Bias_q10,TdAI_Corrected_RH_q10,TdAI_Predicted_Bias_q25,TdAI_Corrected_RH_q25,TdAI_Predicted_Bias_q50,TdAI_Corrected_RH_q50,TdAI_Predicted_Bias_q75,TdAI_Corrected_RH_q75,TdAI_Predicted_Bias_q90,TdAI_Corrected_RH_q90,Post TdAI Median Error (F),TdAI Median Skill Score (%)
2026-06-11 21:00:00,2026-06-11 20:35 UTC,88.0,43.4,63.0,0.2,62.8,59.0,4.0,3.8,5.0,,,37.75,,,,,,,,,,,,
2026-06-12 21:00:00,2026-06-11 20:57 UTC,73.0,61.5,59.0,-1.0,60.0,53.0,6.0,7.0,-16.7,,,86.46,,,,,,,,,,,,
2026-06-13 21:00:00,2026-06-13 16:08 UTC,76.0,55.6,59.0,0.2,58.8,60.0,,,,,,68.23,,,,,,,,,,,,
2026-06-14 21:00:00,2026-06-15 00:43 UTC,73.0,61.5,59.0,-1.4,60.4,61.0,-2.0,-0.6,70.0,,,66.08,,,,,,,,,,,,
2026-06-15 21:00:00,2026-06-15 14:47 UTC,,,,0.0,,62.6,,,,RH > 60 %,,93.89,,,,,,,,,,,,
2026-06-16 21:00:00,2026-06-16 14:47 UTC,71.0,39.3,45.0,1.6,43.4,47.0,-6.07,,,Active,,45.37,,,,,,,,,,,,
2026-06-17 21:00:00,2026-06-17 14:47 UTC,73.0,47.7,52.0,2.0,50.0,54.0,-13.19,,,Active,,60.89,,,,,,,,,,,,
2026-06-18 21:00:00,2026-06-18 14:47 UTC,,,,0.0,,54.0,,,,"RH > 60 %, Sky > 60 %",,89.68,,,,,,,,,,,,
2026-06-19 21:00:00,2026-06-19 14:47 UTC,,,,0.0,,54.0,,,,RH > 60 %,,67.55,,,,,,,,,,,,
2026-06-20 21:00:00,2026-06-20 16:44 UTC,65.0,56.2,49.0,-0.6,49.6,51.0,-2.22,,,Active,,58.42,,,,,,,,,,,,
2026-06-21 21:00:00,2026-06-21 14:47 UTC,,,,0.0,,53.0,,,,Sky > 60 %,,56.72,,,,,,,,,,,,
2026-06-22 21:00:00,2026-06-22 14:47 UTC,,,,0.0,,56.0,,,,"RH > 60 %, Sky > 60 %",,55.24,,,,,,,,,,,,
2026-06-23 21:00:00,2026-06-23 14:47 UTC,,,,0.0,,59.0,,,,"RH > 60 %, Sky > 60 %",,82.63,,,,,,,,,,,,
2026-06-24 21:00:00,2026-06-24 02:48 UTC,,,,0.0,,,,,,RH > 60 %,,65.12,,,,,,,,,,,,
2026-06-25 21:00:00,2026-06-24 02:48 UTC,,,,0.0,,,,,,Sky > 60 %,,61.02,,,,,,,,,,,,
2026-07-06 21:00:00,2026-07-06 20:46 UTC,79.0,38.7,,,,,,,,Active,,,-0.6,39.3,0.5,38.2,2.8,35.9,4.5,34.2,6.1,32.6,,
2026-07-07 21:00:00,2026-07-06 20:46 UTC,81.0,38.7,,,,,,,,Active,,,-2.8,41.5,-0.5,39.2,1.7,37.0,3.5,35.2,5.4,33.3,,
